target_id,retailer,country,laptop_url,http,playwright,firecrawl,adapter,final_status,failure_reason
amazon-gb,Amazon,United Kingdom,https://www.amazon.co.uk/dp/B08L5WHJ7L,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
amazon-us,Amazon,United States,https://www.amazon.com/AKCHART-Laptop-Office-256GB-Laptops/dp/B0H94LG15F/ref=sr_1_1?dib=eyJ2IjoiMSJ9.p3ydhHkWHYvoLVn3p8tVduZmhzbTVavuFBSwKSQjSJ9zTqcUWqf9U0NBgW_Ja-QSaRpBovHgkQKfGu6Uf-eD0CjIA4o4kUKuIjdpsYyhLinwmJMFKAak4_0MDlORKV2caYNvz8dxPgX531Cm7mNmVLV2eDTIXrReH45T47LFbThsF4J9b8t0g1bs5dsLWB1fkIfZ9HDr02-EZJ7S_NejrobS15WAiIqNUZrf4PTe2fA.hIVhD8gaSytUztPpKHk8O0bsO4rCb2gM4R_VVus9Zpk&dib_tag=se&keywords=laptop&qid=1787562174&sr=8-1,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
agres-id,Agres,Indonesia,https://www.agres.id/categories/laptops,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
amazon-in,Amazon,India,https://www.amazon.in/Laptops/b?ie=UTF8&node=1375424031#skippedLink,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
amazon-de,Amazon,Germany,https://www.amazon.de/dp/B08L5WHJ7L,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
amazon-fr,Amazon,France,https://www.amazon.fr/dp/B08L5WHJ7L,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
amazon-it,Amazon,Italy,https://www.amazon.it/dp/B08N5WRW88,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
amazon-es,Amazon,Spain,https://www.amazon.es/dp/B08L5WHJ7L,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
amazon-ca,Amazon,Canada,https://www.amazon.ca/HP-Processor-Storage-Graphics-15-fd0016ca/dp/B0DVD5RQ86/ref=sr_1_5?dib=eyJ2IjoiMSJ9.5d93cHZmg-O2ODg3S2SZi8UG4fcL4eMsmsX6W_eJDNpU-hmA-iyvrYappr-GTmPoq7xxGIDf1AmhcOtpOGlQVNEbQJYXBH9H_ip7M5u8frT1xKQv8Si8Q15PmDJUFARkMcxaBCkBRMDtudEO5ncy9WtiooxECT8xCwu65FDSBxd8UifUIXOEP8tGCv5xYcVjN8DjDlqJ9KJ_Rb7qNq-4gJYiSvwlm2ZRRo__V5r1ePUnRwOU9SFxqPGouAqsYD6fL2IRYTzkDR4x5Cf-xCI8eaW489Sm0mD6DqifBakta_g.KWa8NmeJpcMiu8TsdYUZ98vWr26s4nnpcFzKGqh480I&dib_tag=se&keywords=laptop&qid=1787562306&sr=8-5,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
amazon-mx,Amazon,Mexico,https://www.amazon.com.mx/Regadera-Portatil-Recargable-8000mAh-Camping/dp/B0GRGW1GTK/ref=sr_1_1?dib=eyJ2IjoiMSJ9.hoWj4KL-AbRtIa62ClTYYmECAAdjNGlxtINgIzP4b7USa83Lu6Yy3K_5vuh1daDvewa0yNsyIS_z_6s_lpBRPxrj146XaHSjYd9hm3bX2pS2-14suifMgfl3wMNzOHIfM0jiAHf0ys-JW0FCnN61xy-RqnUmBZ0iZjLDO1XQ6grPn-IctCDbQ3sZsnq2nDwzncR-gUKEWMG9o3SJTPB5P4OUeslFvS85BZg8T0bsMDJuAAXiK8El-2QI8FE98-8pCMPVe-GPnBdr9s-z_2AqpT__-OZO4q2U2cosiw_AtvM.e_JQXbyUKpmpfZT0HGQekRR4ht0FQehEyof86Set96c&dib_tag=se&keywords=portatil&qid=1787562340&sr=8-1&ufe=app_do%3Aamzn1.fos.db4f1a57-87f1-43c5-9a39-0cdca6036b57,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
amazon-br,Amazon,Brazil,https://www.amazon.com.br/Notebook-ASUS-VivoBook-RYZEN-KeepOS/dp/B0CYVVRSSZ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.H7KJzaDLIv8FkqiMZzmm8K-U0V5ud4ASFX9hb44y75serC5tM2wrRQdjnIIEwZO9K0x5Uomvs4GZacp--w2S4XspjyxfExEgBcXHLESqY-saibWAMmd3Zh9nh6XWyu6eSg5MZx0KKqCCvUQWNF318qdGk_j9ye2nUc60OupbFI7-2CugA3S8p4gAJsDO0aRd770RNEt-tYWoo0FGFYlGDf5thIf1lqxDAqsXT_fQPwNbtfxVzL-DcYj2ig9Zq4vmybs4KYuoNEkSRQT-Xh12hGD0NAQFy2ZLedLcjMqlSb8.gY3GjY0dI-yV-ezaHQ7HV213HGWw9oou-hCMO944Cc8&dib_tag=se&keywords=notebook&qid=1787562376&sr=8-5&ufe=app_do%3Aamzn1.fos.9e6a115c-05b9-4b96-8e1c-b1f9ce2ac1a6,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
currys-gb,Currys,United Kingdom,https://www.currys.co.uk/deals-on-computing/lenovo-yoga-intel-core-ultra-laptops,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
dell-global,Dell,Global,https://www.dell.com/en-in/lp/learn-about-dell-laptops#Dell-Pro-Essential-Laptops,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
euronics-it,Euronics,Italy,https://www.euronics.it/informatica/computer-portatili/notebook/,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
flipkart-in,Flipkart,India,https://www.flipkart.com/q/premium-laptops?otracker=undefined_footer,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
komputronik-pl,Komputronik,Poland,https://www.komputronik.pl/category/5803/laptopy-i-komputery.html,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE
