target_id,retailer,country,discovery_status,discovery_method,laptop_url,validation_score,failure_reason
agres-id,Agres,Indonesia,PRODUCT_URL_FOUND,method_1_homepage_nav,https://www.agres.id/categories/laptops,0.4,PRODUCT_IDENTITY_MISSING
acer-global,Acer,Global,DISCOVERY_TIMEOUT,none,NONE,0.0,DISCOVERY_TIMEOUT
amazon-us,Amazon,United States,PRODUCT_URL_FOUND,method_4_website_search,https://www.amazon.com/AKCHART-Laptop-Office-256GB-Laptops/dp/B0H94LG15F/ref=sr_1_1?dib=eyJ2IjoiMSJ9.p3ydhHkWHYvoLVn3p8tVduZmhzbTVavuFBSwKSQjSJ9zTqcUWqf9U0NBgW_Ja-QSaRpBovHgkQKfGu6Uf-eD0CjIA4o4kUKuIjdpsYyhLinwmJMFKAak4_0MDlORKV2caYNvz8dxPgX531Cm7mNmVLV2eDTIXrReH45T47LFbThsF4J9b8t0g1bs5dsLWB1fkIfZ9HDr02-EZJ7S_NejrobS15WAiIqNUZrf4PTe2fA.hIVhD8gaSytUztPpKHk8O0bsO4rCb2gM4R_VVus9Zpk&dib_tag=se&keywords=laptop&qid=1787562174&sr=8-1,0.55,LOW_CONFIDENCE_PRODUCT_PAGE
amazon-in,Amazon,India,PRODUCT_URL_FOUND,method_5_category_nav,https://www.amazon.in/Laptops/b?ie=UTF8&node=1375424031#skippedLink,0.0,WAF_BOT_CHALLENGE
amazon-gb,Amazon,United Kingdom,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.co.uk/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-de,Amazon,Germany,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.de/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-fr,Amazon,France,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.fr/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-it,Amazon,Italy,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.it/dp/B08N5WRW88,0.0,CAPTCHA_CHALLENGE
amazon-es,Amazon,Spain,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.es/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-ca,Amazon,Canada,PRODUCT_URL_FOUND,method_4_website_search,https://www.amazon.ca/HP-Processor-Storage-Graphics-15-fd0016ca/dp/B0DVD5RQ86/ref=sr_1_5?dib=eyJ2IjoiMSJ9.5d93cHZmg-O2ODg3S2SZi8UG4fcL4eMsmsX6W_eJDNpU-hmA-iyvrYappr-GTmPoq7xxGIDf1AmhcOtpOGlQVNEbQJYXBH9H_ip7M5u8frT1xKQv8Si8Q15PmDJUFARkMcxaBCkBRMDtudEO5ncy9WtiooxECT8xCwu65FDSBxd8UifUIXOEP8tGCv5xYcVjN8DjDlqJ9KJ_Rb7qNq-4gJYiSvwlm2ZRRo__V5r1ePUnRwOU9SFxqPGouAqsYD6fL2IRYTzkDR4x5Cf-xCI8eaW489Sm0mD6DqifBakta_g.KWa8NmeJpcMiu8TsdYUZ98vWr26s4nnpcFzKGqh480I&dib_tag=se&keywords=laptop&qid=1787562306&sr=8-5,0.0,WAF_BOT_CHALLENGE
