target_id,retailer,country,laptop_url,http,playwright,firecrawl,adapter,final_status,failure_reason
agres-id,Agres,Indonesia,https://www.agres.id/categories/laptops,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-us,Amazon,United States,https://www.amazon.com/HP-Laptop-Student-Business-Copilot/dp/B0GY16ZXZV/ref=sr_1_1?dib=eyJ2IjoiMSJ9.B5Qg2mZ8Em9UgkHr7srZ3NCwogWwjsXpuvEqQtCl1_k_EU7GHXDG6lABX-x3DQpTunKLex-LI8gUvdir7sUT0dN0Nky1jl2As3j4C_7c6H_hQ190Ao9-dj4r2YAheft2hwOlSsmVZg-GgGqonZRJXvOdtYYIyWByVM3l3K4CG_PGb6hSl0R7Mnhk6NLIKiSYV5iftFgaZGJKatmvE718uiLguY94oJU8nVDZZe6yzVw.QHdRSWjyBRApc5wiV9xpIrJ2tzPIztG3yaUTUFMh5kk&dib_tag=se&keywords=laptop&qid=1787579143&sr=8-1,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-in,Amazon,India,https://www.amazon.in/dp/B08L5WHJ7L,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-gb,Amazon,United Kingdom,https://www.amazon.co.uk/dp/B08L5WHJ7L,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-de,Amazon,Germany,https://www.amazon.de/dp/B08L5WHJ7L,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-fr,Amazon,France,https://www.amazon.fr/dp/B08L5WHJ7L,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-it,Amazon,Italy,https://www.amazon.it/dp/B08N5WRW88,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-es,Amazon,Spain,https://www.amazon.es/dp/B08L5WHJ7L,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-ca,Amazon,Canada,https://www.amazon.ca/HP-Processor-Storage-Graphics-15-fd0016ca/dp/B0DVD5RQ86/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0LvvhywwDS7khN3yY3pUb_p6tBjfpmSb_WbNKnGoOL3GU8rlQUb7CnVPFZnjN9QNq7xxGIDf1AmhcOtpOGlQVB3ECjukjPIbsexA6Etb2W4buP832MbGRi-if94JhQCw5WerIjpN5z64UAy8qj3hV-hKxKvmxaEKwXjGeO5phcJubOoWH0sO9bD4JZR06C_VxmoTbGdKieoYrTNw3m-UJjZNf1Z8nCG84T72G9y7lU7IeHewbUrzI-jlLVqk_VqeE8y7A71iKxDjNEdI7Pk8_-iZM5TmJyowci62s8m9McM.pMcdO4Yko4aANJv2PGij9knl8uAiSHKC6EjSKgAIGCI&dib_tag=se&keywords=laptop&qid=1787579351&sr=8-5,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-mx,Amazon,Mexico,https://www.amazon.com.mx/INIU-20000mAh-Portatil-Powerbank-Compatible/dp/B0DCMW8SJV/ref=cs_sr_dp?dib=eyJ2IjoiMSJ9.YVju2VL9Z36afz4wpJE9iNLMFGBV_63KB5uzwYKiwB0Ph9Hvg1jRKGyOUflvb6vHD0Cn9_mb2_hU7JEJoECkg6Q3a88V_ZLi4D7t1rB-0WvPhBqSVN9ZQJm5mHz9H_N4dYfvy7prM1vw3lm278KD0y_1o8Brae1n4mJHiuxcZr--_8G2FYLHGBLDWOZ50Z8dYeckXnRV-rwI5OsQWcZ-XHI_HzT9eqp-Yez4dHvVDTFuAAXiK8El-2QI8FE98-8pCMPVe-GPnBdr9s-z_2AqpT__-OZO4q2U2cosiw_AtvM.HNqDoJAplvmA0n4GQRuZQGcyUQ3l1DcbdveOKE6OGC4&dib_tag=se&keywords=portatil&qid=1787579440&sr=8-5&ufe=app_do%3Aamzn1.fos.db4f1a57-87f1-43c5-9a39-0cdca6036b57,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
