target_id,retailer,country,discovery_status,discovery_method,laptop_url,validation_score,failure_reason
agres-id,Agres,Indonesia,PRODUCT_URL_FOUND,method_1_homepage_nav,https://www.agres.id/categories/laptops,0.55,PRODUCT_IDENTITY_MISSING
acer-global,Acer,Global,PRODUCT_URL_FOUND,method_9_firecrawl_map,https://store.acer.com/en-us/laptops/gaming,0.0,NONE
amazon-us,Amazon,United States,PRODUCT_URL_VALIDATED,method_4_website_search,https://www.amazon.com/HP-Laptop-Student-Business-Copilot/dp/B0GY16ZXZV/ref=sr_1_1?dib=eyJ2IjoiMSJ9.B5Qg2mZ8Em9UgkHr7srZ3NCwogWwjsXpuvEqQtCl1_k_EU7GHXDG6lABX-x3DQpT-tQARBbqBZw6Cpy3tbQxm_eahsGyfqIqzXZNTAJQbH2o8rApuZIJuA_WWSnOIAg8jIy7B6m1vt5eEt2j9gN6mA4w-UQ50F3YuD2XVAODnpiPp3laM84uv3FlEMmrj2CkS02w1vHRB0RwUxtS0fp8ojU40CsqHD2FOFiFARbnehg.ycOixDO-MBSRQCf3Zb3iojz-YkO5NpJu_GEMC0cAYm0&dib_tag=se&keywords=laptop&qid=1787584879&sr=8-1,0.85,NONE
amazon-in,Amazon,India,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.in/dp/B08L5WHJ7L,0.2,NOT_A_LAPTOP_PRODUCT
amazon-gb,Amazon,United Kingdom,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.co.uk/dp/B08L5WHJ7L,0.2,NOT_A_LAPTOP_PRODUCT
amazon-de,Amazon,Germany,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.de/dp/B08L5WHJ7L,0.2,NOT_A_LAPTOP_PRODUCT
amazon-fr,Amazon,France,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.fr/dp/B08L5WHJ7L,0.2,NOT_A_LAPTOP_PRODUCT
amazon-it,Amazon,Italy,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.it/dp/B08L5WHJ7L,0.2,NOT_A_LAPTOP_PRODUCT
amazon-es,Amazon,Spain,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.es/dp/B08N5WRW88,0.2,NOT_A_LAPTOP_PRODUCT
amazon-ca,Amazon,Canada,PRODUCT_URL_FOUND,method_5_category_nav,https://www.amazon.ca/Laptops/b/?ie=UTF8&node=677252011&ref_=sv_pc_2,0.45,LOW_CONFIDENCE_PRODUCT_PAGE
