target_id,retailer,country,discovery_status,discovery_method,laptop_url,validation_score,failure_reason
agres-id,Agres,Indonesia,PRODUCT_URL_FOUND,method_1_homepage_nav,https://www.agres.id/categories/laptops,0.4,PRODUCT_IDENTITY_MISSING
acer-global,Acer,Global,DISCOVERY_TIMEOUT,none,NONE,0.0,DISCOVERY_TIMEOUT
amazon-us,Amazon,United States,PRODUCT_URL_FOUND,method_4_website_search,https://www.amazon.com/AKCHART-Laptop-Office-256GB-Laptops/dp/B0H94LG15F/ref=sr_1_1?dib=eyJ2IjoiMSJ9.p3ydhHkWHYvoLVn3p8tVdoTGaWNDUVOAQSL8r7by9Vzd1DJTRvutSw_4wwJKwCqdDw_IUFIGQDpVb-GTV8lYYHQ5PgirmpVurod74zEraZVf9-U9o40dtYjb7OnszAypk4ZI6f3qOWoeHxyIPMBkSbQ_Dz2LMlszmyoL5lRMNKmqdtgfkGDJ7iDU5Zhh8QE8V5iftFgaZGJKatmvE718uiv3ToCGCNLPmgmqCCb9kRc.iyVVTyQaun4-j7z9ff-FUQ_tFR0WnJslaU70RMB_ZNY&dib_tag=se&keywords=laptop&qid=1787559111&sr=8-1,0.55,LOW_CONFIDENCE_PRODUCT_PAGE
amazon-in,Amazon,India,PRODUCT_URL_FOUND,method_4_website_search,https://www.amazon.in/ASUS-Vivobook-i5-13420H-Keyboard-X1605VA-SH1952WS/dp/B0FN9WN6XD/ref=sr_1_3?dib=eyJ2IjoiMSJ9.YCD62Cm6YiAsNErT-6-DiISaPQvy3ePlUAfeo1TL337UbKwVM_vAi1-onOkc7-XCIgqtPHhIAyZwdkfl3ZbWDvSzD03vwM0gr1KhOLbjp88n_aiqTixndAJIkzJIZ72bDmX5Cx0WxApU6RyHmHEP-cmJTKwE1B6aOga_wqStXxlLpm1q4GjWnAelhxfqUQlY3EugSXLkqlTd1Pdm0zgyE6GZGUICpMpJueILBBgf-PI.7Eo-_Lia2Rkv7UyTJPCio6gYRxku78a-n8q9fpRZWZ8&dib_tag=se&keywords=laptop&qid=1787559140&sr=8-3,0.0,WAF_BOT_CHALLENGE
amazon-gb,Amazon,United Kingdom,PRODUCT_URL_FOUND,method_5_category_nav,https://www.amazon.co.uk/laptops/b/?ie=UTF8&node=429886031&ref_=sv_computers_3,0.0,WAF_BOT_CHALLENGE
amazon-de,Amazon,Germany,PRODUCT_URL_FOUND,method_4_website_search,https://www.amazon.de/ASUS-FullHD-Notebook-Windows-8247/dp/B0FPD1G32N/ref=sr_1_4?dib=eyJ2IjoiMSJ9.CfjidRfJ8pMmDNKcmOSGrUG1zMWv8yeF-ufIYkXs_Go5WhNLONw2BtWGmryf5gFhud9RFTaLQ0q4BFt-LWfaBA4zyg-Jjazx164XsVQz0HKRS_J4fE6IOUsXRdMgqrTnzTPOJH8jZoOiQpgpex57IV7RC-SIGRXk4aod-HUFyhJ8g7i1BrYLNDLdndM0a0TcyDxiRh2wwf496AbrUmsvb9osL2-Q2QqzFEFMPk5CBJg.XVjgijIJFGlwfwrSoF02WX0bym-f1MzBNFINZJow36o&dib_tag=se&keywords=notebook&qid=1787559192&sr=8-4,0.0,CAPTCHA_CHALLENGE
amazon-fr,Amazon,France,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.fr/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-it,Amazon,Italy,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.it/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-es,Amazon,Spain,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.es/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-ca,Amazon,Canada,PRODUCT_URL_FOUND,method_5_category_nav,https://www.amazon.ca/Laptops/b/?ie=UTF8&node=677252011&ref_=sv_pc_2,0.0,WAF_BOT_CHALLENGE
