target_id,retailer,country,laptop_url,http,playwright,firecrawl,brightdata,adapter,final_status,failure_reason
agres-id,Agres,Indonesia,https://www.agres.id/categories/laptops,NO,NO,NO,NO,N/A,FAILED,PRODUCT_IDENTITY_MISSING
amazon-gb,Amazon,United Kingdom,https://www.amazon.co.uk/dp/B08L5WHJ7L,NO,NO,NO,NO,N/A,FAILED,HTTP_404_NOT_FOUND
amazon-fr,Amazon,France,https://www.amazon.fr/dp/B08L5WHJ7L,NO,NO,NO,NO,N/A,FAILED,HTTP_404_NOT_FOUND
amazon-us,Amazon,United States,https://www.amazon.com/HP-Laptop-Student-Business-Copilot/dp/B0GY16ZXZV/ref=sr_1_3?dib=eyJ2IjoiMSJ9.60ifbIjhXnu-xmhx0A35JFXT3GWvWppizkM92H7hFy5z7MzflR4yYKY6QT4PfKIqbUdzhH1CoO1OUtMVU86jJddwo1_XtIgPOAFEOvh4fwJuqSKoC610sDFEzXMzqRyFaTWSOhDOBeWmNQzvlsxLvGFIWV3HMmismAOItU4YB6Wr8n8pK3WFBkmj53TuduM71q0Q8B6cTMldvI-DP9aHHTaoBhGWuIPbVep1A_34tTc.2cbx7A8u9eTzgqEnrIh2Fmsoyx0u2t2yVPIOJv2JXII&dib_tag=se&keywords=laptop&qid=1787581824&sr=8-3,NO,NO,NO,NO,N/A,FAILED,WAF_BOT_CHALLENGE
amazon-de,Amazon,Germany,https://www.amazon.de/dp/B08L5WHJ7L,NO,NO,NO,NO,N/A,FAILED,HTTP_404_NOT_FOUND
amazon-in,Amazon,India,https://www.amazon.in/Laptops/b?ie=UTF8&node=1375424031#skippedLink,NO,NO,NO,NO,N/A,FAILED,WAF_BOT_CHALLENGE
amazon-it,Amazon,Italy,https://www.amazon.it/dp/B08L5WHJ7L,NO,NO,NO,NO,N/A,FAILED,HTTP_404_NOT_FOUND
amazon-es,Amazon,Spain,https://www.amazon.es/dp/B08L5WHJ7L,NO,NO,NO,NO,N/A,FAILED,HTTP_404_NOT_FOUND
amazon-br,Amazon,Brazil,https://www.amazon.com.br/Notebook-ASUS-VivoBook-RYZEN-KeepOS/dp/B0CYVVRSSZ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.H7KJzaDLIv8FkqiMZzmm8OKlvU5L9Ab8UZvJgZfn6XdcSwJoMR12jpOn3mWFxRYiK0x5Uomvs4GZacp--w2S4WNNDHHZN8e41mrm4EDh-7K4shkFZSBaDKo4uSW0-2-YSg5MZx0KKqCCvUQWNF318qdGk_j9ye2nUc60OupbFI4RGPuWMqSbdSQo7qCdLqrLnn4Xvf-0GwUFA6Rof38jXP5thIf1lqxDAqsXT_fQPwOMX0ZJ-pGd_yP6U420_ESdq_f2YdLCCifpD_2v0tiTG-wKUH9N2IU6i5O7_EYexH8.69S4fzQyNa6hM8vukSznDaxc15welizaXmE1_Oh3MSQ&dib_tag=se&keywords=notebook&qid=1787581995&sr=8-5&ufe=app_do%3Aamzn1.fos.9e6a115c-05b9-4b96-8e1c-b1f9ce2ac1a6,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
hp-global,Hp,Global,https://www.hp.com/in-en/shop/laptops-tablets/laptop-promotions.html,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
