target_id,retailer,country,discovery_status,discovery_method,laptop_url,validation_score,failure_reason
agres-id,Agres,Indonesia,PRODUCT_URL_FOUND,method_1_homepage_nav,https://www.agres.id/categories/laptops,0.4,PRODUCT_IDENTITY_MISSING
acer-global,Acer,Global,DISCOVERY_TIMEOUT,none,NONE,0.0,DISCOVERY_TIMEOUT
amazon-us,Amazon,United States,PRODUCT_URL_FOUND,method_4_website_search,https://www.amazon.com/HP-Laptop-Student-Business-Copilot/dp/B0GY16ZXZV/ref=sr_1_3?dib=eyJ2IjoiMSJ9.60ifbIjhXnu-xmhx0A35JFXT3GWvWppizkM92H7hFy5z7MzflR4yYKY6QT4PfKIqbUdzhH1CoO1OUtMVU86jJddwo1_XtIgPOAFEOvh4fwJuqSKoC610sDFEzXMzqRyFaTWSOhDOBeWmNQzvlsxLvGFIWV3HMmismAOItU4YB6Wr8n8pK3WFBkmj53TuduM71q0Q8B6cTMldvI-DP9aHHTaoBhGWuIPbVep1A_34tTc.2cbx7A8u9eTzgqEnrIh2Fmsoyx0u2t2yVPIOJv2JXII&dib_tag=se&keywords=laptop&qid=1787581824&sr=8-3,0.55,LOW_CONFIDENCE_PRODUCT_PAGE
amazon-in,Amazon,India,PRODUCT_URL_FOUND,method_5_category_nav,https://www.amazon.in/Laptops/b?ie=UTF8&node=1375424031#skippedLink,0.1,NOT_A_LAPTOP_PRODUCT
amazon-gb,Amazon,United Kingdom,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.co.uk/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-de,Amazon,Germany,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.de/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-fr,Amazon,France,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.fr/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-it,Amazon,Italy,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.it/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-es,Amazon,Spain,PRODUCT_URL_FOUND,method_7_inferred_pattern,https://www.amazon.es/dp/B08L5WHJ7L,0.0,CAPTCHA_CHALLENGE
amazon-ca,Amazon,Canada,PRODUCT_URL_FOUND,method_4_website_search,https://www.amazon.ca/HP-Processor-Storage-Graphics-15-fd0016ca/dp/B0DVD5RQ86/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0LvvhywwDS7khN3yY3pUbz01tn1lk0yNXd-eMpLu3-9mWvpaU6m-x3LPGGP4fdpaJOrhMF6jh8O2hQUODa41VtAfqT05YuwDolQ4S4KNOPRUAc_E_jyO63f2zR-dlDdJN6uoyB0h37r8Mh3RF9L-goNG5rLMbZ3eDc0kpTZbmkoRycVxVp-nVZByHZ3hdNAApKm3LIb2QBr1cMzZbF0lLburPPHCgFHWsM5CovUs8QHzNTNQm8xqgB9cuW0NEGHs85oFI1vUtWktkI8_5bFWVwBwJ1qcK8HACNNdoFiUOX8.rAbfAapj7BflULUiYIdIOb_gOxiK7k-biXjWUS3QJaI&dib_tag=se&keywords=laptop&qid=1787581921&sr=8-5,0.0,WAF_BOT_CHALLENGE
